2;951;72;16;0;02.04.01.06;1;-;Baik;Tidak;Beton;Hak Pakai;-;90;01.01.11.03.24;-;0001-01-01;-;x;Gedung Loket Pembayaran Sempaja
3;951;27;15;81;02.03.04;1;SK WALIKOTA;Baik;Tidak Bertingkat;Beton;Hak Pakai;230;100.000 M2;02.03.04;-;20/07/2023;-;WhatsApp Image 2023-07-20 at 11.22.26.jpeg;Gedung UPW 4
35;1065;151;15;80;02.03.04;A1;PERUMDAM;BAIK;TIDAK;BETON;"SPHAT : 620/28-1/1991 ; 13/02/1991  ";Berada di dalam areal lahan Cendana ( Luas 17010 m;Type 36;01.01.11.01.01;845.1/276-09/III/Peg-2020;17/03/2020;-;A1.jpeg;Syaiful Anwar
36;1065;151;15;80;02.03.04;A2;Pembelian;Kurang Baik;Tidak Bertingkat;BETON;"SPHAT : 620/28-1/1991 ; 13/02/1991";36;Berada di dalam areal lahan Cendana ( Luas 17010 m;02.03.04;-;20/07/2023;M Firdaus;WhatsApp Image 2021-10-05 at 8.41.45 AM (1).jpeg;Agus Syah. (Batal)
37;1065;151;15;80;02.03.04;A3;PERUMDAM;BAIK;TIDAK;BETON;"SPHAT : 620/28-1/1991 ; 13/02/1991";Berada di dalam areal lahan Cendana ( Luas 17010 m;Type 36;01.01.11.01.01;845.1/695-20/VII/Peg-2011;08/06/2011;-;A2.jpeg;Ramdhani
38;1065;151;15;80;02.03.04;A4;PERUMDAM;BAIK;TIDAK;BETON;"SPHAT : 620/28-1/1991 ; 13/02/1991";Berada di dalam areal lahan Cendana ( Luas 17010 m;Type 36;01.01.11.01.01;845.1/132-04/II/Peg-2021;09/02/2021;-;x;Muhammad Rafi i
39;1065;151;15;80;02.03.04;B1;PERUMDAM;BAIK;TIDAK;BETON;"SPHAT : 620/28-1/1991 ; 13/02/1991";Berada di dalam areal lahan Cendana ( Luas 17010 m;Type 36;01.01.11.01.01;-;0001-01-01;-;B1.jpeg;Adi Putra (Batal)
40;1065;151;15;80;02.03.04;B2;PERUMDAM;BAIK;TIDAK;BETON;"SPHAT : 620/28-1/1991 ; 13/02/1991";Berada di dalam areal lahan Cendana ( Luas 17010 m;Type 36;01.01.11.01.01;845.1/366-11/IV/Peg-2013;10/04/2013;-;B2.jpeg;Anwar Hanani
41;1065;151;15;80;02.03.04;B3;PERUMDAM;BAIK;TIDAK;BETON;"SPHAT : 620/28-1/1991 ; 13/02/1991";Berada di dalam areal lahan Cendana ( Luas 17010 m;Type 36;01.01.11.01.01;845.1/770-21/V/Peg-2019;09/05/2019;-;B3.jpeg;Sofyan Noor
42;1065;151;15;80;02.03.04;B4;PERUMDAM;BAIK;TIDAK;BETON;"SPHAT : 620/28-1/1991 ; 13/02/1991";Berada di dalam areal lahan Cendana ( Luas 17010 m;Type 36;01.01.11.01.01;845.1/1128-33/XI/Peg-2003;03/11/2003;-;B4.jpeg;Susiono
43;1065;151;15;80;02.03.04;C1;PERUMDAM;BAIK;TIDAK;BETON;"SPHAT : 620/28-1/1991 ; 13/02/1991";Berada di dalam areal lahan Cendana ( Luas 17010 m;Type 36;01.01.11.01.01;845.1/237-13/1990;22/02/1990;-;C1.jpeg;M  Solihin
44;1065;151;15;80;02.03.04;C2;PERUMDAM;BAIK;TIDAK;BETON;"SPHAT : 620/28-1/1991 ; 13/02/1991";Berada di dalam areal lahan Cendana ( Luas 17010 m;Type 36;01.01.11.01.01;845.1/944-27/XII/Peg-2020;01/12/2020;-;C2.jpeg;Roby Irawan
45;1065;151;15;80;02.03.04;C3;PERUMDAM;BAIK;TIDAK;BETON;"SPHAT : 620/28-1/1991 ; 13/02/1991";Berada di dalam areal lahan Cendana ( Luas 17010 m;Type 36;01.01.11.01.01;845.1/771-21/V/Peg-2019;10/05/2019;-;C3.jpeg;Ahmad Husain
46;1065;151;15;80;02.03.04;C4;PERUMDAM;BAIK;TIDAK;BETON;"SPHAT : 620/28-1/1991 ; 13/02/1991";Berada di dalam areal lahan Cendana ( Luas 17010 m;Type 36;01.01.11.01.01;845.1/216-07/II/Peg-2020;21/02/2020;-;D1.jpeg;Zicko Ansyari
47;1065;151;15;80;02.03.04;D1;PERUMDAM;BAIK;TIDAK;BETON;"SPHAT : 620/28-1/1991 ; 13/02/1991";Berada di dalam areal lahan Cendana ( Luas 17010 m;Type 36;02.03.04;648.840/217-09/III/98;24/03/1998;-;D1.jpeg;Hermanto
48;1065;151;15;80;02.03.04;D2;Pembelian;BAIK;TIDAK;BETON;"SPHAT : 620/28-1/1991 ; 13/02/1991";Berada di dalam areal lahan Cendana ( Luas 17010 m;Type 36;02.03.04;845.1/570-16/V/Peg-2015;28/05/2015;-;WhatsApp Image 2021-10-05 at 8.41.45 AM (1).jpeg;Hery Dwi Atmoko
49;1065;151;15;80;02.03.04;D3;PERUMDAM;BAIK;TIDAK;BETON;"SPHAT : 620/28-1/1991 ; 13/02/1991";Berada di dalam areal lahan Cendana ( Luas 17010 m;Type 36;01.01.11.01.01;-;0001-01-01;-;D3.jpeg;Suminto (kosong)
50;1065;151;15;80;02.03.04;D4;PERUMDAM;BAIK;TIDAK;BETON;"SPHAT : 620/28-1/1991 ; 13/02/1991";Berada di dalam areal lahan Cendana ( Luas 17010 m;Type 36;01.01.11.01.01;845.2/39-02/I/Peg-2007;09/01/2007;-;D4.jpeg;Tanziluddin
51;951;27;15;80;02.03.04;1;Pembelian;Baik;Tidak;Beton;"SPHAT : 4-11-1978 ; 06/11/1978";18.267;150;01.01.11.04.01;-;0001-01-01;-;GEDUNG ARSIP 1.jpeg;Gedung Aset 1
52;951;27;15;80;02.03.04;2;Pembelian;Baik;Tidak;Beton;"SPHAT:4-11-1978 ; 06/11/1978";18.267;87;01.01.11.04.01;-;0001-01-01;-;GEDUNG ARSIP 2.jpeg;Gedung Aset 2
53;35;27;15;80;02.03.04;3;Pembelian;Baik;Tidak;Beton;"SPHAT:4-11-1978 ; 06/11/1978";18.267;60;01.01.11.04.01;-;0001-01-01;-;MUSHOLLA.jpeg;Musholla
54;951;27;15;80;02.03.04;4;Pembelian;Baik;Tidak;Beton;"SPHAT:4-11-1978 ; 06/11/1978";18.267;420;01.01.11.04.01;-;0001-01-01;-;WORKSHOP_METER AIR.jpeg;Gedung Work Shop Dan Akurasi Meter Air
55;951;42;20;80;01.01.13.09.01;1;Pembelian;Baik;Bertingkat;Beton;Tanah Milik Perumdam;414;Berada di dim areal lahan Cendana (luas 17010 M2);01.01.13.09.01;-;21/09/2022;Gedung Kantor & R. Operator, TC, Lab. Induk;IMG20220815095441.jpg;Gedung Kantor - R Operator - TC - Lab Induk
56;970;42;20;80;01.01.13.09.01;2;Pembelian;Baik;Tidak Bertingkat;Beton;Tanah Milik Perumdam;24;Berada di dim areal lahan Cendana (luas 17010 M2);01.01.13.09.01;-;21/09/2022;Rumah Trafo Kecil;WhatsApp Image 2023-07-20 at 15.00.09.jpeg;Rumah Trafo Kecil
57;905;42;20;80;01.01.13.09.01;3;Pembelian;Baik;Tidak Bertingkat;Beton;Tanah Milik Perumdam;248;Berada di dim areal lahan Cendana (luas 17010 M2);01.01.13.09.01;-;21/09/2022;Bak Sedimen IPA 1;IMG20220815095538.jpg;Bak IPA 1
58;955;42;20;80;01.01.13.09.01;4;Pembelian;Baik;Tidak Bertingkat;Beton;Tanah Milik Perumdam;56,4;Berada di dim areal lahan Cendana (luas 17010 M2);01.01.13.09.01;-;21/09/2022;Bak Filter IPA 1;IMG20220815095613.jpg;Bak Filter IPA 1
59;958;42;20;80;01.01.13.09.01;5;Pembelian;Baik;Bertingkat;Beton;Tanah Milik Perumdam;36;Berada di dim areal lahan Cendana (luas 17010 M2);01.01.13.09.01;-;21/09/2022;Bak Kontrol Filter IPA 1;IMG20220815100054.jpg;Ruang Kontrol Filter IPA 1
60;949;42;20;80;01.01.13.09.01;6;Hibah;Baik;Tidak Bertingkat;Beton;Tanah Milik Perumdam;336;Berada di dim areal lahan Cendana (luas 17010 M2);01.01.13.09.01;-;21/09/2022;Bak Resservoir IPA 1;IMG20220815095859.jpg;Bak Resservoir IPA 1
61;942;42;20;80;01.01.13.09.01;7;Hibah;Baik;Tidak Bertingkat;Beton;Tanah Milik Perumdam;110,4;Berada di dim areal lahan Cendana (luas 17010 M2);01.01.13.09.01;-;21/09/2022;Rumah Pompa Distribusi IPA 1;IMG20220815100111.jpg;Rumah Pompa Dist. IPA 1
62;905;42;20;80;01.01.13.09.01;8;Hibah;Baik;Tidak Bertingkat;Beton;Tanah Milik Perumdam;384;Berada di dim areal lahan Cendana (luas 17010 M2);01.01.13.09.01;-;21/09/2022;Bak Sedimen IPA 2;IMG20220815095659.jpg;Bak IPA 2
63;933;42;20;80;01.01.13.09.01;9;Hibah;Baik;Bertingkat;Beton;Tanah Milik Perumdam;111;Berada di dim areal lahan Cendana (luas 17010 M2);01.01.13.09.01;-;21/09/2022;Ruang Kontrol Filter IPA 2;IMG20220815095711.jpg;Ruang Kontrol Filter IPA 2
64;955;42;20;80;01.01.13.09.01;10;Hibah;Baik;Tidak Bertingkat;Beton;Tanah Milik Perumdam;148;Berada di dim areal lahan Cendana (luas 17010 M2);01.01.13.09.01;-;21/09/2022;Bak Filter IPA 2;IMG20220815095732.jpg;Bak Filter IPA 2
65;949;42;20;80;01.01.13.09.01;11;Hibah;Baik;Tidak Bertingkat;Beton;Tanah Milik Perumdam;540;Berada di dim areal lahan Cendana (luas 17010 M2);01.01.13.09.01;-;21/09/2022;Bak Resservoir IPA 2;IMG20220815100026.jpg;Bak Resservoir IPA 2
66;942;42;20;80;01.01.13.09.01;12;Hibah;Baik;Tidak Bertingkat;Beton;Tanah Milik Perumdam;108;Berada di dim areal lahan Cendana (luas 17010 M2);01.01.13.09.01;-;21/09/2022;Rumah Pompa Distribusi IPA 2;IMG20220815100136.jpg;Rumah Pompa Dist. IPA 2
67;970;42;20;80;01.01.13.09.01;13;Hibah;Baik;Tidak Bertingkat;Beton;Tanah Milik Perumdam;84;Berada di dim areal lahan Cendana (luas 17010 M2);01.01.13.09.01;-;21/09/2022;Rumah Trafo Besar;IMG20220815100224.jpg;Rumah Trafo Besar
68;949;42;20;80;01.01.13.09.01;14;Hibah;Baik;Tidak Bertingkat;Beton;Tanah Milik Perumdam;960;Berada di dim areal lahan Cendana (luas 17010 M2);01.01.13.09.01;-;21/09/2022;Bak Resservoir 3;IMG20220815100238.jpg;Resservoir 3
69;942;42;20;80;01.01.13.09.01;15;Hibah;Baik;Tidak Bertingkat;Beton;Tanah Milik Perumdam;168;Berada di dim areal lahan Cendana (luas 17010 M2);01.01.13.09.01;-;21/09/2022;Rumah Pompa Distribusi Resservoir 3;IMG20220815100422.jpg;Rumah Pompa Dist. Ress.3
70;923;42;20;80;01.01.13.09.01;16;Hibah;Baik;Bertingkat;Beton;Tanah Milik Perumdam;380;Berada di dim areal lahan Cendana (luas 17010 M2);01.01.11.03.24;-;21/09/2022;Gedung PBK Unit 1;16 GEDUNG PBK UNIT 1.jpeg;Gedung PBK Unit 1
71;965;42;20;80;01.01.13.09.01;17;Hibah;Baik;Bertingkat;Tidak Beton;Tanah Milik Perumdam;60;Berada di dim areal lahan Cendana (luas 17010 M2);01.01.13.09.01;-;21/09/2022;Rumah Pengolahan Garam;17 RUMAH PENGOLAHAN GARAM.jpg;Rmh. Pengolahan Garam
