1;31.01.10;Tanah dan Hak Atas Tanah;TANAH DAN PENYEMPURNAAN TANAH;TANAH;;
2;31.01.20;Penyempurnaan Tanah;TANAH DAN PENYEMPURNAAN TANAH;TANAH;;
3;31.03.20;Pembangkit Tenaga Listrik;INSTALASI POMPA;KIB B - PERALATAN DAN MESIN;;
4;31.03.30;Peralatan Pompa;INSTALASI POMPA;KIB B - PERALATAN DAN MESIN;;
5;31.03.90;Instalasi Lainnya;INSTALASI POMPA;KIB B - PERALATAN DAN MESIN;;
6;31.04.20;Alat-alat Pengolahan Air;INSTALASI PENGOLAHAN AIR;KIB B - PERALATAN DAN MESIN;;
7;31.07.10;Alat-alat Pergudangan;PERALATAN DAN PERLENGKAPAN;KIB B - PERALATAN DAN MESIN;;
8;31.07.20;Alat-alat Laboratorium;PERALATAN DAN PERLENGKAPAN;KIB B - PERALATAN DAN MESIN;;
9;31.07.30;Alat-alat Perhubungan/Telkom;PERALATAN DAN PERLENGKAPAN;KIB B - PERALATAN DAN MESIN;;
10;31.07.40;Alat-alat Berat;PERALATAN DAN PERLENGKAPAN;KIB B - PERALATAN DAN MESIN;;
11;31.07.50;Alat-alat Bengkel;PERALATAN DAN PERLENGKAPAN;KIB B - PERALATAN DAN MESIN;;
12;31.07.90;Rupa-rupa Alat & Perlengkapan Lainnya;PERALATAN DAN PERLENGKAPAN;KIB B - PERALATAN DAN MESIN;;
13;31.08.10;Kendaraan Penumpang;KENDARAAN / ALAT PENGANGKUTAN;KIB B - PERALATAN DAN MESIN;;
14;31.08.20;Kendaraan Angkut Barang;KENDARAAN / ALAT PENGANGKUTAN;KIB B - PERALATAN DAN MESIN;;
15;31.08.30;Kendaraan Tangki Air;KENDARAAN / ALAT PENGANGKUTAN;KIB B - PERALATAN DAN MESIN;;
16;31.08.40;Kendaraan Roda Dua;KENDARAAN / ALAT PENGANGKUTAN;KIB B - PERALATAN DAN MESIN;;
17;31.08.90;Alat Pengangkut lainnya;KENDARAAN / ALAT PENGANGKUTAN;KIB B - PERALATAN DAN MESIN;;
18;31.06.10;Bangunan Kantor;BANGUNAN / GEDUNG;KIB C - GEDUNG DAN BANGUNAN;;
19;31.06.20;Bangunan Laboratorium;BANGUNAN / GEDUNG;KIB C - GEDUNG DAN BANGUNAN;;
20;31.06.30;Bangunan Gedung Peralatan;BANGUNAN / GEDUNG;KIB C - GEDUNG DAN BANGUNAN;;
21;31.06.40;Bangunan Bengkel Perawatan;BANGUNAN / GEDUNG;KIB C - GEDUNG DAN BANGUNAN;;
22;31.06.50;Bangunan Gudang;BANGUNAN / GEDUNG;KIB C - GEDUNG DAN BANGUNAN;;
23;31.06.60;Bangunan Rumah Dinas;BANGUNAN / GEDUNG;KIB C - GEDUNG DAN BANGUNAN;;
24;31.06.70;Bangunan Loket;BANGUNAN / GEDUNG;KIB C - GEDUNG DAN BANGUNAN;;
25;31.06.90;Bangunan Lainnya;BANGUNAN / GEDUNG;KIB C - GEDUNG DAN BANGUNAN;;
26;31.02.10;Bangunan dan Perbaikannya;INSTALASI SUMBER AIR;KIB D - JALAN, IRIGASI DAN JARINGAN;;
27;31.02.20;Reservoir Penampungan Air;INSTALASI SUMBER AIR;KIB D - JALAN, IRIGASI DAN JARINGAN;;
28;31.02.30;Danau, Sungai dan Sumber Lainnya;INSTALASI SUMBER AIR;KIB D - JALAN, IRIGASI DAN JARINGAN;;
29;31.02.40;Mata Air dan Terowongan;INSTALASI SUMBER AIR;KIB D - JALAN, IRIGASI DAN JARINGAN;;
30;31.02.50;Sumur-sumur;INSTALASI SUMBER AIR;KIB D - JALAN, IRIGASI DAN JARINGAN;;
31;31.02.60;Pipa Supply Utama;INSTALASI SUMBER AIR;KIB D - JALAN, IRIGASI DAN JARINGAN;;
32;31.02.90;Instalasi Sumber Lainnya;INSTALASI SUMBER AIR;KIB D - JALAN, IRIGASI DAN JARINGAN;;
33;31.03.10;Bangunan dan Perbaikannya;INSTALASI POMPA;KIB D - JALAN, IRIGASI DAN JARINGAN;;
34;31.04.10;Bangunan dan Perbaikannya;INSTALASI PENGOLAHAN AIR;KIB D - JALAN, IRIGASI DAN JARINGAN;;
35;31.04.30;Reservoir/Penampungan Air;INSTALASI PENGOLAHAN AIR;KIB D - JALAN, IRIGASI DAN JARINGAN;;
36;31.04.90;Instalasi Pengolahan Air Lainnya;INSTALASI PENGOLAHAN AIR;KIB D - JALAN, IRIGASI DAN JARINGAN;;
37;31.05.10;Bangunan dan Perbaikannya;INSTALASI TRANSMISI DAN DISTRIBUSI;KIB D - JALAN, IRIGASI DAN JARINGAN;;
38;31.05.20;Reservoir, Tandon dan Menara Air;INSTALASI TRANSMISI DAN DISTRIBUSI;KIB D - JALAN, IRIGASI DAN JARINGAN;;
39;31.05.30;Pipa Transmisi dan Distribusi;INSTALASI TRANSMISI DAN DISTRIBUSI;KIB D - JALAN, IRIGASI DAN JARINGAN;;
40;31.05.40;Pipa Dinas;INSTALASI TRANSMISI DAN DISTRIBUSI;KIB D - JALAN, IRIGASI DAN JARINGAN;;
41;31.05.50;Meter Air yang Terpasang;INSTALASI TRANSMISI DAN DISTRIBUSI;KIB D - JALAN, IRIGASI DAN JARINGAN;;
42;31.05.51;Sambungan Pelanggan;INSTALASI TRANSMISI DAN DISTRIBUSI;KIB D - JALAN, IRIGASI DAN JARINGAN;;
43;31.05.60;Leding Umum;INSTALASI TRANSMISI DAN DISTRIBUSI;KIB D - JALAN, IRIGASI DAN JARINGAN;;
44;31.05.70;Saluran Air Pemadam Kebakaran;INSTALASI TRANSMISI DAN DISTRIBUSI;KIB D - JALAN, IRIGASI DAN JARINGAN;;
45;31.05.80;Jembatan Pipa;INSTALASI TRANSMISI DAN DISTRIBUSI;KIB D - JALAN, IRIGASI DAN JARINGAN;;
46;31.05.90;Instalasi Transmisi & Distribusi Lainnya;INSTALASI TRANSMISI DAN DISTRIBUSI;KIB D - JALAN, IRIGASI DAN JARINGAN;;
47;41.01.80;Penyertaan Modal;Aset Dalam Penyelesaian;KIB F - KONTRUKSI DALAM PENGERJAAN;;
48;31.09.10;Meubelair Kantor;INVENTARIS / PERABOTAN KANTOR;KIR (KARTU INVENTARIS RUANGAN);;
49;31.09.20;Mesin-mesin kantor;INVENTARIS / PERABOTAN KANTOR;KIR (KARTU INVENTARIS RUANGAN);;
50;31.09.30;Aktiva Lainnya;INVENTARIS / PERABOTAN KANTOR;KIR (KARTU INVENTARIS RUANGAN);;
51;31.09.90;Rupa-rupa Inventaris Kantor Lainnya;INVENTARIS / PERABOTAN KANTOR;KIR (KARTU INVENTARIS RUANGAN);;
